---------------------------------------------
                   Orthogonal Coordinates  
 No.     Label    xo [Å]   yo [Å]   zo [Å]   
  7712.  Zn46     -1.5253   0.7658   0.7315
  7752.  Zn46     -1.5253   0.7315   0.7658
  7753.  Zn46     -0.7315   0.7658   1.5253
  7757.  Zn46     -0.7658   1.5253   0.7315
  7812.  Zn47     -0.5634   0.8218   1.7215
  7819.  Zn47     -0.8218   0.5634   1.7215
  7835.  Zn47     -1.7215   0.5634   0.8218
  7842.  Zn47     -1.7215   0.8218   0.5634
  7862.  Zn47     -0.5634   1.7215   0.8218
  7867.  Zn47     -0.8218   1.7215   0.5634
  7913.  Zn48     -1.4537   1.4039   1.6903
  7922.  Zn48     -1.4039   1.4537   1.6903
  7927.  Zn48     -1.6903   1.4537   1.4039
  7933.  Zn48     -1.6903   1.4039   1.4537
  7956.  Zn48     -1.4537   1.6903   1.4039
  7962.  Zn48     -1.4039   1.6903   1.4537
  8005.  Zn49     -1.2794   0.6848   0.9152
  8016.  Zn49     -0.6848   1.2794   0.9152
  8022.  Zn49     -0.9152   1.2794   0.6848
  8036.  Zn49     -0.9152   0.6848   1.2794
  8047.  Zn49     -1.2794   0.9152   0.6848
  8063.  Zn49     -0.6848   0.9152   1.2794
  8090.  Zn51     -1.0771   0.6848   0.8125
  8092.  Zn51     -0.8125   1.0771   0.6848
  8097.  Zn51     -0.6848   0.8125   1.0771
  8135.  Zn51     -0.6848   1.0771   0.8125
  8139.  Zn51     -1.0771   0.8125   0.6848
  8140.  Zn51     -0.8125   0.6848   1.0771
  8195.  Zn52     -1.5253   1.2576   1.4631
  8204.  Zn52     -1.2576   1.5253   1.4631
  8218.  Zn52     -1.4631   1.5253   1.2576
  8224.  Zn52     -1.4631   1.2576   1.5253
  8247.  Zn52     -1.5253   1.4631   1.2576
  8253.  Zn52     -1.2576   1.4631   1.5253
  8296.  Zn53     -1.4039   0.6226   1.1705
  8307.  Zn53     -0.6226   1.4039   1.1705
  8313.  Zn53     -1.1705   1.4039   0.6226
  8318.  Zn53     -1.1705   0.6226   1.4039
  8338.  Zn53     -1.4039   1.1705   0.6226
  8345.  Zn53     -0.6226   1.1705   1.4039
  8391.  Zn54     -1.1456   0.8187   1.6530
  8398.  Zn54     -0.8187   1.1456   1.6530
  8405.  Zn54     -1.6530   1.1456   0.8187
  8421.  Zn54     -1.6530   0.8187   1.1456
  8432.  Zn54     -1.1456   1.6530   0.8187
  8446.  Zn54     -0.8187   1.6530   1.1456
